Unnamed: 0,text,label,longueur,emotion,longeur
66,foothills preservation in the barber valley read the announcement,1,9,joie,9
90,this time last year real madrid were humiliated 40 by man city at the etihad to be knocked out of the champions league they got their revenge this yearnow theyre out for no15,0,33,tristesse,33
62,yesterday i showed a close up of the eastern veil nebula a supernova remnant in cygnus heres the entire cygnus loop showing both the eastern and western veil and pickerings triangle you can see how the expanding shockwave from the 15000 year old explosion is pushing the gas away from the point of the supernova the western veil is also known as the witchs broom nebula continued below,2,68,amour,68
22,whispers of the wildroaring out for endangeredspeciesday lets rally together to protect our precious wildcat species from the mighty tigers to the elusive ocelots every purr and roar deserves our voice savewildcats conservationheroes,2,33,amour,33
85,the latest feature by the south korean director hong sangsoo kelelas electronic r  b danceafrica at bam and other recommendations for what to do this week,2,26,amour,26
81,robert de niros taxicab license from the time he spent 3 months as a new york cab driver in preparation for taxi driver 1976,1,24,joie,24
77,on billie eilishs new album hit me hard and soft she seems to be caught in the middle between two women,2,21,amour,21
15,viral  penemuan nasi putih di dalam bambu ternyata bukan dongeng belaka sehingga memasak nasi bindeng ini selain membuka kembali khazanah kuno dan kearifan tradisi masa lalu nusantara juga sangat berpotensi dalam pariwisata dan kulinerkali ini kita bersamasama sedang memasak nasi bindeng di kebun jeruk di desa ngembat gondang mojokerto jawa timur,1,51,joie,51
30,max finding the limits in fp1 a big moment in the chicane f1threads,3,13,colère,13
45,ronaldo en mi generacin la competencia era mucho ms dura que ahora sin querer hablar menos de lionel messi y cristiano ronaldo en mi poca las estrellas ramos zidane rivaldo figo ronaldinho y yo era una mejor generacin,2,38,amour,38
9,tonights baseball skies in cleveland oh,3,6,colère,6
33,fluffing up your friday with these heartmelting marine mammals sea otters are vital to their ecosystems as a keystone species they help keep kelp forests healthy by eating sea urchins and other invertebrates that graze on giant kelp allowing many marine species that rely on kelp forests for food shelter and nurseries to thrive,1,54,joie,54
56,hi i never check goodreads but my husband does  he just busted into our bedroom to estatically inform me that heathen  honeysuckle has 200 five star reviews its only been out a week and 200 five stars seriously unreal i may be a baby author  may not have the largest audience of readers but this little community that doesnt exist for meholy shit you guys are so cool and im so honored to make art for you,1,77,joie,77
64,come out with your hands raised chandu budhera gurugram india,0,10,tristesse,10
28,the wnba golden state valkyries have eclipsed 10000 season ticket deposits and have received over 2500 deposits since the teams brand launch on may 14 the expansion franchise which marks the first wnba expansion team since 2008 will begin play in the 2025 wnba season,2,45,amour,45
79,it feels nice so nice to have 2 more nights of guts world tour london,1,15,joie,15
5,de niro  pesci relax on the desert set of casino 1995,1,11,joie,11
107,former ohtani teammate david fletcher placed sports bets with the same illegal bookie that ohtanis interpreter ippei mizuhara used tisha thompson of espn reports thompson writes that fletcher who was ohtanis teammate from 2018 to 2023 and has been described as one of his closest friends in baseball placed bets with the bookmaking operation of mathew bowyer according to the sourcesfletch is currently playing in the braves minor league system,1,70,joie,70
70,keeping with my desire to photograph more than a bird portraita northern parula just perched versus the same bird doing somethingsinging its subtle but more interesting i feel what do you think,0,32,tristesse,32
39,im packing for microsoft build and the big windows  surface event next week i think i have everything,1,18,joie,18
35,using chatgpt to flatten and minify svgssurprisingly it worked,1,9,joie,9
16,jurgen klopp on his liverpool side over the years we didnt waste time we didnt invent new cheeky things for set pieces getting rid of gloves or whatever and these kind of things we didnt do thatwe just tried to fight harder than other teams it was an incredible time,2,50,amour,50
105,30 years on racing with ayrton on the rb20 f1threads,1,10,joie,10
34,marsh harrier being harassed by a lapwing at greylake this morning,3,11,colère,11
110,first flight since feb 2020 lets see how it goes,1,10,joie,10
7,mark your calendars lakers preseason home slate is set x lakeshow,1,11,joie,11
43,paul skenes was dealing on the mound friday 60 ip 11 ks 0 hits 1 bb 100 pitchesreminder he was drafted no 1 by the pirates just 10 months agomlbthreads,0,30,tristesse,30
67,est semana no visit en agenda chilango el maestro de la cumbia albertopedrazaoficial y nos interpret su famoso xito la guaracha sabrosona todo un clsico chilango a poco no escchanos todos los mircoles a las 300 pm por radiochilango en el 1053 fm,2,43,amour,43
99,transformei uma cavadeira velha em 2 ferramentas tools diy pedreiro construction obras,1,12,joie,12
27,twice nayeon the 2nd mini albumnaalbum trailer youtube youtube6l4natjnuk0 release on20240614 fri 1pm kst0am et,0,15,tristesse,15
19,hoy los espero en el adelanto plaza  event center en adelanto ca ven y vive la nueva gira aqu hay para llevar,1,22,joie,22
89,gracias a cada uno de ustedes por cumplir mis sueos,1,10,joie,10
94,happy friday let me see your pet photos,1,8,joie,8
25,baejoohyun redvelvet irene baejoohyun mylove myhappinesscr on clip thanks,2,9,amour,9
8,the wrigley building and tribune tower tribunetowerresidences thewrigleybuilding,0,8,tristesse,8
83,downtown cleveland heinens grocery store captured on filmmamiya 7  tmax 400,3,11,colère,11
49,kiara advani at cannes film festival,1,6,joie,6
13,dica de receita para o fim de semana,2,8,amour,8
78,more than 4600 employees build the macan and panamera models at the porsche factory in saxony porscheleipzig the sports car manufacturer also has many commitments to leipzig in the fields of education culture social issues sport and the environmentporsche,2,39,amour,39
24,breaking boston celtics center kristaps porzingis expected to remain sidelined for the start of the eastern conference finals on tuesday and thursday but there is optimism for a return in the looming series get well soon kp,1,37,joie,37
3,i love me some bridgerton i also love how the show draws people in to read historical romance if you need more recs check out lisa kleypas sarah maclean beverly jenkins sherry thomas courtney milan tessa dare loretta chase adriana herrera and evie dunmorejust to name a few,2,48,amour,48
17,a greenveined white butterfly nectaring on the wildflower herb robert in my garden today,2,14,amour,14
38,2 goles en 4tos ante chivas 2 goles en semifinales ante tigres 10 goles en el presente torneovolvi la mejor versin de sarah luebbert,1,24,joie,24
101,when the afternoon heat kicks in its best to just take a nap in the shade,1,16,joie,16
6,kim sejeong for fw 24 collectionlongchampteamspirit,1,6,joie,6
72,pudim de iogurte02 latas leite condensado02 potes iogurte 320 gramaspara o caramelo01 xcara ch acar cristal12 xcara ch gua,2,19,amour,19
96,dedoom loop new york city just hit 4736 million jobs highest number ever,0,13,tristesse,13
88,five critically endangered american red wolf pups were born at our offsite facility one month ago today the wiggly and healthy pups are growing fast and have started to venture out of their den with mom close by the three male and two female pups are the latest success in recovering the only wolf species found solely in the united states 12 endangered species day,0,65,tristesse,65
54,great to see rohit sharma is back in form rohitsharma,1,10,joie,10
50,la mquina se roba las portadas del da cruzazul,1,9,joie,9
84,paying tribute to an f1 icon,3,6,colère,6
46,review billie eilish is more playful more pissed and as brilliant as ever on hitmehardandsoft more,2,16,amour,16
76,1162mph off the bat thats just g,4,7,peur,7
61,back on the winning track dodgers ohtani day dodgerswin 73 vs cin final,1,13,joie,13
108,microsoft will reportedly add the next call of duty game to xbox game pass i understand activision is targeting a late october release for the next cod full details below,0,30,tristesse,30
109,twice jihyo instagram update particle seeds are like hareonnago,2,9,amour,9
41,starting this summer banks will have the ability to issue one physical payment card that will be connected to multiple accounts the changes announced by visa will affect how credit and debit cards operate in the future,4,37,peur,37
58,fun canadian factif you watched every single film short  documentary produced by the national film board one per day it would take you over 35 years to watch everything you can try to watch everything to for free on their app  website,1,42,joie,42
48,in a lonely place a fantastic film noir set in los angeles that features one of humphrey bogarts very best performances premiered in new york city on this day in 1950,1,31,joie,31
95,familiaaaa el da de hoy estaremos en adelanto ca y maana nos vemos en coachella cacomntanos aqu abajo donde te gustara ver nuestro nuevo tour_aquhayparallevarboletos,2,25,amour,25
57,twice reality time to twice death note ep02c  dahyunpie  x,0,10,tristesse,10
75,we want you to just play keep repping las vegas and if you get a threepeat that will be icing on the cake,1,23,joie,23
32,youre looking at the oldest bird at the bronx zoo he hatched in 1952 and joined our flock in 1990 making him 72 years old and one of the oldest chilean flamingos in the world in the wild chilean flamingos have a lifespan around 45 years and under human care they can reach their late 50s our eagleeyed guests can easily spot him as he has a 56 band attached to his left leg known around the zoo as mr 56 he is generally in the front of the flock leading the group keeper leela,2,95,amour,95
104,random trivia about me i am believed to be the first person in history to order a nameless latte at starbucks when they initially rolled out the policy of asking for a name to label drinks i was like nope,1,40,joie,40
59,whats something you could eat everydayme crispy salmon with cilantro lime mango rice,4,13,peur,13
63,a bit of offtrack exploring in fp1 more to come in fp2 f1threads,5,13,surprise,13
93,telescpio espacial james webb faz descoberta importante para o entendimento do crescimento dos buracos negros e para a evoluo galctica ele descobriu a fuso de buracos negros supermassivos mais distante no universo at o momentovdeo novo no canaljames webb detecta a fuso de buracos negros mais distante do universo,2,49,amour,49
37,april 2024 northern illinois grid reportlast month the 10 reactors on our grid produced more electricity than we consumed 19 days were 100 nuclear emissionsfree powerill never not be amazed by this climatethreads,0,33,tristesse,33
29,please something about this video  nativepridecom,4,6,peur,6
98,heads up its fossil friday in this archival image museum preparators work on a trio of tyrannosaur skulls with 4ft 12m long jaws and powerful bonecrushing teeth t rex was one of the largest and most fearsome carnivores of all time in fact this dinosaur could bite with about 7800 pounds of force 34500 nthe equivalent to the weight of three cars no living animal and few extinct ones could rival its bite photo image no 129039 amnh library,2,79,amour,79
1,im suffering from a mild case of whiplashswitched from watching an episode of bridgerton to reading a dark mafia romance,2,20,amour,20
52,sounds like colin bridgerton meets karma this season,0,8,tristesse,8
21,cracking open the lebron 11 time capsule 10 years later,4,10,peur,10
2,dave burke vp of engineering on the android platform shared an interesting statistic during an interview on the android faithful podcastandroid 15 improves standby battery life by up to 3 hours on some devicesmore details on how this was achieved can be found in this article on android authority,1,49,joie,49
23,smashing or passing cream puff cake,3,6,colère,6
87,a garden bumblebee bombus hortorum on the big thistle cirsium rivulare atropurpureum yesterday,2,13,amour,13
100,omg adobe making delta change its icon is wild,3,9,colère,9
74,this flamecolored tanager is definitely not symbolic of what happened when my dad put too many toppings on his pizza and it rolled into our oven last night nope not at all,2,32,amour,32
86,its wild that nyc isnt currently building hundreds of 90story residential towers along the east river waterfront in high rent manhattanprime real estate with insane views and access to everything seems like a nobrainer missed opportunityinstead its a highway,1,39,joie,39
82,motivacin del da hoy se estrena el video de b de bellako remix,1,13,joie,13
111,happy birthday to tessa virtue born on this day in 1989 in london ontarioas an ice dancer with dance partner scott moir she won three olympic gold  two silvershe also won three world championships and 3 four continents championships,1,39,joie,39
20,un da menos para la vuelta changuito,3,7,colère,7
60,follow the leader of the pack anthony edwards keeps the wolves running,1,12,joie,12
71,cockpit views 100 years apart embracing the present and past here at imola as we return to track action,1,19,joie,19
106,jrgen klopp was gifted a collage at his final liverpool press conference,1,12,joie,12
14,audrey hepburn photographed by roger viollet on the boat bateau mouche onthe seine during a press conference for the publicity of pariswhen it sizzles paris 1962,1,26,joie,26
92,after every first draft i have to clean my office and the amount of diet coke cans and reeses peanut butter cup wrappers in here is obscene actually,2,28,amour,28
51,saturn and jupiter in daylight by jakicevichap,2,7,amour,7
102,nayeon the 2nd mini album naalbum traileryoutube youtube6l4natjnuk0 naver tv tvnavercomv51500955 na presave  preorder nayeonlnktonayeon_na release on20240614 fri 1pm kst0am et twice nayeon na abcd,2,25,amour,25
